id,customer_id,company_name,tax_no,bank_name,bank_account,bank_branch,address,phone,is_current,remark,created_at
b3a9b8af-91a2-4a2d-a0cd-464058f4e5bb,95cea1e3-545c-4d71-aad6-5f12dc010321,国家电网有限公司,91110000100013470B,建设银行,1063733633028549284,北京市西城支行,北京市西城区金融街8号,010-47969333,yes,,2018-06-16
b6c6c8d6-21e1-4d01-b2ca-421204321859,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,南方电网有限责任公司,911440000326781948,农业银行,1017546668128865371,广东省广州支行,广东省广州市越秀区东风西路8号,010-94676162,yes,,2018-09-08
fccb037a-1f82-4d7f-b74c-d7af34419f9e,23737dec-9bce-472c-b1c0-a3027d979391,中国华能集团有限公司,91110000100005512X,中国银行,1057513445362276724,北京市朝阳支行,北京市朝阳区建国门外大街甲6号,010-22684373,yes,,2018-08-23
0fd8e52b-ca16-4fe2-8a71-33e45d9c7015,016654bb-e840-4b81-a79d-3f019d698561,中国大唐集团有限公司,91110000100005514T,农业银行,1046316419314277182,北京市西城支行,北京市西城区太平桥大街23号,010-98122539,yes,,2019-11-03
4b7b206b-3621-455f-9d67-eddf2ba75037,ec23e3db-5f4f-4b44-977f-723d464e743c,中国华电集团有限公司,91110000100005516J,建设银行,1021745671834449656,北京市西城支行,北京市西城区太平桥大街33号,010-88213973,yes,,2019-08-22
afbe8dc1-6407-403c-91b2-6ff8176c3e11,a6511b8c-c335-4af4-bbe6-65916bb7db78,国网河北省电力有限公司,91130000714571028H,建设银行,1060414488971633987,河北省石家支行,河北省石家庄市裕华区建设大街509号,010-51638598,yes,,2018-04-23
4e664e77-a596-4d5f-bc8f-acd8c0167b2a,9ca36a6e-b68b-4f55-9f43-d5e69fd721af,国网山东省电力公司,91370000101150003P,农业银行,1095754477226949065,山东省济南支行,山东省济南市历下区经十路21668号,010-21370793,yes,,2018-09-15
20fb3fad-803b-4fb9-9db6-03f55d37e834,2a2d66ee-0003-4d79-88bf-e52c16e77e74,国网江苏省电力有限公司,9132000074924498XB,中国银行,1064285210746192969,江苏省南京支行,江苏省南京市玄武区紫金路1号,010-96368203,yes,,2019-03-22
d68a51e4-ad0f-4a83-8175-f8beef890fac,a555016d-a66b-4aae-ac9b-b26afb1880ac,南方电网广东电网有限责任公司,91440100717915891E,中国银行,1028417025121312961,广东省广州支行,广东省广州市天河区天寿路6号,010-99941500,yes,,2019-10-03
3c6eecb9-9513-4da4-be91-7b4a5b5888c7,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,国网四川省电力公司,91510000715100032E,工商银行,1083280914211494933,四川省成都支行,四川省成都市金牛区人民北路一段99号,010-58563745,yes,,2018-01-20
